dataset_name,classifier,grid_search_number,param_grid,best_params,best_cv_score,test_accuracy,energy_consumed,elapsed_time
RT-IoT2022,DecisionTreeClassifier,1,"{'max_depth': range(1, 31, 12)}",{'max_depth': 25},0.9961824705394211,0.9962638076673165,2.3716488356309742e-05,3.355926036834717
RT-IoT2022,DecisionTreeClassifier,2,"{'max_depth': range(1, 31, 6), 'min_samples_split': range(2, 17, 4)}","{'max_depth': 19, 'min_samples_split': 2}",0.9962535416831312,0.9962638076673165,0.00012506294434166504,14.267236709594727
RT-IoT2022,DecisionTreeClassifier,3,"{'max_depth': range(1, 31, 3), 'min_samples_split': range(2, 17, 2)}","{'max_depth': 16, 'min_samples_split': 2}",0.9963550701948989,0.9961013645224172,0.0005106590813403403,54.30913972854614
RT-IoT2022,DecisionTreeClassifier,4,"{'max_depth': range(1, 31, 3), 'min_samples_split': range(2, 17, 2), 'min_samples_leaf': range(1, 17, 2)}","{'max_depth': 16, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9963550701948989,0.9961013645224172,0.0034069033959112935,410.62198305130005
