dataset_name,classifier,grid_search_number,param_grid,best_params,best_cv_score,test_accuracy,energy_consumed,elapsed_time
CDCHealthIndicator,DecisionTreeClassifier,1,"{'max_depth': range(1, 31, 12)}",{'max_depth': 1},0.8603112189419587,0.8620900346893724,4.2548643977180866e-05,6.008320331573486
CDCHealthIndicator,DecisionTreeClassifier,2,"{'max_depth': range(1, 31, 6), 'min_samples_split': range(2, 17, 4)}","{'max_depth': 7, 'min_samples_split': 2}",0.8641447887212719,0.8662093976663513,0.00013354322572762772,12.754523515701294
CDCHealthIndicator,DecisionTreeClassifier,3,"{'max_depth': range(1, 31, 3), 'min_samples_split': range(2, 17, 2)}","{'max_depth': 7, 'min_samples_split': 2}",0.864149716164668,0.8662093976663513,0.0004975895148285819,51.42407822608948
CDCHealthIndicator,DecisionTreeClassifier,4,"{'max_depth': range(1, 31, 3), 'min_samples_split': range(2, 17, 2), 'min_samples_leaf': range(1, 17, 2)}","{'max_depth': 7, 'min_samples_leaf': 15, 'min_samples_split': 2}",0.8641940623054214,0.8662291075370545,0.0032693571269354674,391.6138536930084
