timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-03-31T23:42:50,olivetti_DecisionTreeClassifier,29b33c59-9036-42eb-9dc1-473008bc5991,126.64196252822876,0.0009230322008023,7.288517821228315e-06,32.5,13.366545363516648,5.935011863708496,0.0011417016072405,0.0005893010269959,0.0002079066749891,0.0019389093092256,United States,USA,texas,,,Windows-11-10.0.22631-SP0,3.12.2,2.3.4,6,Intel(R) Core(TM) i5-9400 CPU @ 2.90GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.8535,30.5875,15.826698303222656,machine,N,1.0
2024-03-31T23:50:47,olivetti_DecisionTreeClassifier,29b33c59-9036-42eb-9dc1-473008bc5991,603.6036455631256,0.0043015140864223,7.126388513457797e-06,32.5,15.130005260012144,5.935011863708496,0.0054476056901945,0.0025938656862021,0.0009942325770298,0.0090357039534264,United States,USA,texas,,,Windows-11-10.0.22631-SP0,3.12.2,2.3.4,6,Intel(R) Core(TM) i5-9400 CPU @ 2.90GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.8535,30.5875,15.826698303222656,machine,N,1.0
2024-04-01T00:26:11,olivetti_DecisionTreeClassifier,29b33c59-9036-42eb-9dc1-473008bc5991,2727.1252727508545,0.0193105160923267,7.080905408077656e-06,32.5,15.013826606489882,5.935011863708496,0.0246182870467503,0.011450028326682,0.0044951009243078,0.0405634162977402,United States,USA,texas,,,Windows-11-10.0.22631-SP0,3.12.2,2.3.4,6,Intel(R) Core(TM) i5-9400 CPU @ 2.90GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.8535,30.5875,15.826698303222656,machine,N,1.0
