dataset_name,classifier,grid_search_number,param_grid,best_params,best_cv_score,test_accuracy,energy_consumed,elapsed_time,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
RT-IoT2022,KNeighborsClassifier,1,"{'n_neighbors': range(1, 20, 6)}",{'n_neighbors': 1},0.9910348990710023,0.9915123456790124,0.0003969921129041957,56.771801710128784,2024-04-16T04:55:50,RT-IoT2022_KNeighborsClassifier,363cd8ac-ab3d-414a-811c-d0bf04aa29cc,56.767582654953,0.0003969921129041,6.993289027598886e-06,32.5,14.033887330767454,5.935011863708496,0.0005124675297074,0.0002280137935219,9.343509131167136e-05,0.0008339164145411,United States,USA,texas,,,Windows-11-10.0.22631-SP0,3.12.2,2.3.4,6,Intel(R) Core(TM) i5-9400 CPU @ 2.90GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.8535,30.5875,15.826698303222656,machine,N,1.0
RT-IoT2022,KNeighborsClassifier,2,"{'n_neighbors': range(1, 20, 6), 'weights': ['uniform', 'distance']}","{'n_neighbors': 1, 'weights': 'uniform'}",0.9910348990710023,0.9915123456790124,0.0011569658991089128,103.54685544967651,2024-04-16T04:57:39,RT-IoT2022_KNeighborsClassifier,363cd8ac-ab3d-414a-811c-d0bf04aa29cc,165.02622890472412,0.0011569658991089,7.010800081827435e-06,32.5,14.65144803124537,5.935011863708496,0.0014898025305734,0.000668601645992,0.0002719031846392,0.0024303073612047,United States,USA,texas,,,Windows-11-10.0.22631-SP0,3.12.2,2.3.4,6,Intel(R) Core(TM) i5-9400 CPU @ 2.90GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.8535,30.5875,15.826698303222656,machine,N,1.0
RT-IoT2022,KNeighborsClassifier,3,"{'n_neighbors': range(1, 20, 3), 'weights': ['uniform', 'distance'], 'metric': ['minkowski', 'euclidean']}","{'metric': 'minkowski', 'n_neighbors': 4, 'weights': 'distance'}",0.9910755138775006,0.9910250162443145,0.0036825036057467763,354.531809091568,2024-04-16T05:03:38,RT-IoT2022_KNeighborsClassifier,363cd8ac-ab3d-414a-811c-d0bf04aa29cc,524.1677708625793,0.0036825036057467,7.025429281328736e-06,32.5,14.74318070935847,5.935011863708496,0.0047320435565378,0.0021393958781819,0.0008639792389007,0.0077354186736206,United States,USA,texas,,,Windows-11-10.0.22631-SP0,3.12.2,2.3.4,6,Intel(R) Core(TM) i5-9400 CPU @ 2.90GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.8535,30.5875,15.826698303222656,machine,N,1.0
RT-IoT2022,KNeighborsClassifier,4,"{'n_neighbors': range(1, 20, 3), 'weights': ['uniform', 'distance'], 'metric': ['minkowski', 'euclidean'], 'p': [1, 2, 3]}","{'metric': 'minkowski', 'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}",0.9918572938811971,0.9921621182586094,0.19037144234410266,26478.205136299133,2024-04-16T12:25:00,RT-IoT2022_KNeighborsClassifier,363cd8ac-ab3d-414a-811c-d0bf04aa29cc,27006.214428901672,0.1903714423441026,7.0491716951032505e-06,32.5,14.875175053374338,5.935011863708496,0.2438060758860575,0.1115630209170119,0.0445226528572905,0.39989174966036,United States,USA,texas,,,Windows-11-10.0.22631-SP0,3.12.2,2.3.4,6,Intel(R) Core(TM) i5-9400 CPU @ 2.90GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.8535,30.5875,15.826698303222656,machine,N,1.0
