dataset_name,classifier,grid_search_number,param_grid,best_params,best_cv_score,test_accuracy,energy_consumed,elapsed_time,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
RT-IoT2022,RandomForestClassifier,1,"{'n_estimators': [10, 50, 100]}",{'n_estimators': 100},0.9968627210005042,0.9967917478882391,6.270899257220349e-05,12.897024393081665,2024-04-18T08:49:43,RT-IoT2022_RandomForestClassifier,37b9a8f5-e98b-46da-8676-a4a593dd3c6c,12.891965627670288,6.270899257220349e-05,4.864191728653845e-06,22.5,2.6897302132648684,11.942746639251707,8.055045455694199e-05,8.476395670031778e-06,4.269883536094028e-05,0.0001317256855879,United States,USA,texas,,,Windows-10-10.0.22631-SP0,3.10.4,2.3.4,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.764,30.2881,31.84732437133789,machine,N,1.0
RT-IoT2022,RandomForestClassifier,2,"{'n_estimators': [10, 50, 100, 200], 'max_depth': [None, 10, 20]}","{'max_depth': 20, 'n_estimators': 200}",0.9969236383137341,0.9969135802469136,0.00033060967942452277,54.5183789730072,2024-04-18T08:50:37,RT-IoT2022_RandomForestClassifier,37b9a8f5-e98b-46da-8676-a4a593dd3c6c,67.55939602851868,0.0003306096794245,4.893615083310741e-06,22.5,2.618519663406473,11.942746639251707,0.0004222158923745,4.823531636605205e-05,0.0002240231385239,0.0006944743472645,United States,USA,texas,,,Windows-10-10.0.22631-SP0,3.10.4,2.3.4,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.764,30.2881,31.84732437133789,machine,N,1.0
RT-IoT2022,RandomForestClassifier,3,"{'n_estimators': [10, 50, 100, 200], 'max_depth': [None, 10, 20], 'min_samples_split': [2, 5]}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.9969236383137341,0.9969135802469136,0.0008130567805895089,98.0246422290802,2024-04-18T08:52:16,RT-IoT2022_RandomForestClassifier,37b9a8f5-e98b-46da-8676-a4a593dd3c6c,165.86797428131104,0.0008130567805895,4.901831014168954e-06,22.5,2.670320714759163,11.942746639251707,0.0010366265967488,0.000121151208032,0.0005501185821964,0.0017078963869773,United States,USA,texas,,,Windows-10-10.0.22631-SP0,3.10.4,2.3.4,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.764,30.2881,31.84732437133789,machine,N,1.0
RT-IoT2022,RandomForestClassifier,4,"{'n_estimators': [10, 50, 100, 200, 300], 'max_depth': [None, 10, 20], 'min_samples_split': [2, 5], 'min_samples_leaf': [1, 2]}","{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9969236383137341,0.9969135802469136,0.002395489915054969,322.2759771347046,2024-04-18T08:57:38,RT-IoT2022_RandomForestClassifier,37b9a8f5-e98b-46da-8676-a4a593dd3c6c,488.4239900112152,0.0023954899150549,4.904529597327854e-06,22.5,2.6567115758500752,11.942746639251707,0.0030525957286357,0.000359186676238,0.0016201522258129,0.0050319346306867,United States,USA,texas,,,Windows-10-10.0.22631-SP0,3.10.4,2.3.4,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.764,30.2881,31.84732437133789,machine,N,1.0
