timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-04-16T16:32:58,CDCHealthIndicator_RandomForestClassifier,ea5bf1c4-51db-4d04-8a36-521c2eaaae85,44.795323610305786,0.0002420146548701,5.402676783308333e-06,22.5,6.358828120094467,11.942746639251707,0.0002799395129084,8.00370084740043e-05,0.0001483962817428,0.0005083728031253,United States,USA,texas,,,Windows-10-10.0.22631-SP0,3.10.4,2.3.4,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.764,30.2881,31.84732437133789,machine,N,1.0
2024-04-16T16:35:43,CDCHealthIndicator_RandomForestClassifier,ea5bf1c4-51db-4d04-8a36-521c2eaaae85,210.12806844711304,0.0011413398457702,5.431639162749735e-06,22.5,6.691604757161601,11.942746639251707,0.0013132691681385,0.0003873519765479,0.0006968623342545,0.002397483478941,United States,USA,texas,,,Windows-10-10.0.22631-SP0,3.10.4,2.3.4,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.764,30.2881,31.84732437133789,machine,N,1.0
2024-04-16T16:41:04,CDCHealthIndicator_RandomForestClassifier,ea5bf1c4-51db-4d04-8a36-521c2eaaae85,530.3783252239227,0.0028887764664381,5.446633712300527e-06,22.5,6.819894962611536,11.942746639251707,0.0033148332729935,0.0009940366285619,0.001759255975505,0.0060681258770606,United States,USA,texas,,,Windows-10-10.0.22631-SP0,3.10.4,2.3.4,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.764,30.2881,31.84732437133789,machine,N,1.0
2024-04-16T17:00:51,CDCHealthIndicator_RandomForestClassifier,ea5bf1c4-51db-4d04-8a36-521c2eaaae85,1717.8226928710938,0.0093589068491298,5.448121559907769e-06,22.5,6.761660760422729,11.942746639251707,0.0107363545641303,0.00322433730169,0.0056985048536228,0.0196591967194432,United States,USA,texas,,,Windows-10-10.0.22631-SP0,3.10.4,2.3.4,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.764,30.2881,31.84732437133789,machine,N,1.0
