dataset_name,classifier,grid_search_number,param_grid,best_params,best_cv_score,test_accuracy,energy_consumed,elapsed_time
olivetti,MLPClassifier,1,"{'hidden_layer_sizes': [range(1, 201, 100)]}","{'hidden_layer_sizes': range(1, 201, 100)}",0.025,0.0,1.6513310000372536e-05,2.2743215560913086
olivetti,MLPClassifier,2,"{'hidden_layer_sizes': [range(1, 201, 50)]}","{'hidden_layer_sizes': range(1, 201, 50)}",0.025,0.0,3.1133146304187205e-05,1.997084379196167
olivetti,MLPClassifier,3,"{'hidden_layer_sizes': [range(1, 201, 25)]}","{'hidden_layer_sizes': range(1, 201, 25)}",0.053125,0.0,5.023740704111893e-05,2.626527786254883
olivetti,MLPClassifier,4,"{'hidden_layer_sizes': [range(1, 201, 25)], 'alpha': [0.001, 0.01]}","{'alpha': 0.01, 'hidden_layer_sizes': range(1, 201, 25)}",0.053125,0.125,7.877118211778577e-05,3.918445587158203
olivetti,MLPClassifier,5,"{'hidden_layer_sizes': [range(1, 201, 25)], 'alpha': [0.001, 0.01], 'activation': ['relu', 'tanh', 'logistic']}","{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': range(1, 201, 25)}",0.065625,0.0,0.00011228821098100337,4.591086149215698
