dataset_name,classifier,grid_search_number,param_grid,best_params,best_cv_score,test_accuracy,energy_consumed,elapsed_time,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
CDCHealthIndicator,MLPClassifier,1,"{'hidden_layer_sizes': [range(1, 201, 100)]}","{'hidden_layer_sizes': range(1, 201, 100)}",0.8620801830184659,0.8653421633554084,0.0005287819050406535,96.62669110298157,2024-04-13T01:58:17,CDCHealthIndicator_MLPClassifier,dbc225e0-f364-4abe-8f14-d783dc77f58b,96.62171030044556,0.0005287819050406,5.472702805574485e-06,22.5,6.8147582723044655,11.942746639251707,0.0006037465840578,0.000186945427334,0.0003200603083454,0.0011107523197372,United States,USA,texas,,,Windows-10-10.0.22631-SP0,3.10.4,2.3.4,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.764,30.2881,31.84732437133789,machine,N,1.0
CDCHealthIndicator,MLPClassifier,2,"{'hidden_layer_sizes': [range(1, 201, 50)]}","{'hidden_layer_sizes': range(1, 201, 50)}",0.8615923700071099,0.8623856827499211,0.0039513156986432625,627.891838312149,2024-04-13T02:08:45,CDCHealthIndicator_MLPClassifier,dbc225e0-f364-4abe-8f14-d783dc77f58b,724.5949192047119,0.0039513156986432,5.453137461935391e-06,22.5,6.771898276989439,11.942746639251707,0.0045285731226205,0.001368211372346,0.002403297327888,0.0083000818228546,United States,USA,texas,,,Windows-10-10.0.22631-SP0,3.10.4,2.3.4,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.764,30.2881,31.84732437133789,machine,N,1.0
CDCHealthIndicator,MLPClassifier,3,"{'hidden_layer_sizes': [range(1, 201, 25)]}","{'hidden_layer_sizes': range(1, 201, 25)}",0.8624448059386731,0.8620309050772627,0.01523195433581036,2109.824563264847,2024-04-13T02:43:55,CDCHealthIndicator_MLPClassifier,dbc225e0-f364-4abe-8f14-d783dc77f58b,2834.6554787158966,0.0152319543358103,5.373476406632124e-06,22.5,5.985255264878178,11.942746639251707,0.0177164516195654,0.004876333345508,0.0094032581130893,0.0319960430781628,United States,USA,texas,,,Windows-10-10.0.22631-SP0,3.10.4,2.3.4,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.764,30.2881,31.84732437133789,machine,N,1.0
CDCHealthIndicator,MLPClassifier,4,"{'hidden_layer_sizes': [range(1, 201, 25)], 'alpha': [0.001, 0.01]}","{'alpha': 0.001, 'hidden_layer_sizes': range(1, 201, 25)}",0.8624546706589852,0.864514348785872,0.02710921479000666,2217.9045724868774,2024-04-13T03:20:53,CDCHealthIndicator_MLPClassifier,dbc225e0-f364-4abe-8f14-d783dc77f58b,5053.167036056519,0.0271092147900066,5.364796888084395e-06,22.5,6.042621465232288,11.942746639251707,0.0315821488529443,0.008600115768976,0.0167629956587642,0.0569452602806846,United States,USA,texas,,,Windows-10-10.0.22631-SP0,3.10.4,2.3.4,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.764,30.2881,31.84732437133789,machine,N,1.0
CDCHealthIndicator,MLPClassifier,5,"{'hidden_layer_sizes': [range(1, 201, 25)], 'alpha': [0.001, 0.01], 'activation': ['relu', 'tanh', 'logistic']}","{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': range(1, 201, 25)}",0.8624645219037326,0.8620900346893724,0.04036534617323668,2471.0626134872437,2024-04-13T04:02:05,CDCHealthIndicator_MLPClassifier,dbc225e0-f364-4abe-8f14-d783dc77f58b,7524.867641925812,0.0403653461732366,5.364259956990569e-06,22.5,6.11412409548258,11.942746639251707,0.0470302776396274,0.012797969127256,0.0249626688668015,0.0847909156336849,United States,USA,texas,,,Windows-10-10.0.22631-SP0,3.10.4,2.3.4,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.764,30.2881,31.84732437133789,machine,N,1.0
