dataset_name,classifier,grid_search_number,param_grid,best_params,best_cv_score,test_accuracy,energy_consumed,elapsed_time,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
RT-IoT2022,KNeighborsClassifier,1,"{'n_neighbors': range(1, 31, 5)}",{'n_neighbors': 1},0.9910348990710023,0.9915123456790124,0.0003645622199105101,62.36548948287964,2024-03-29T13:47:54,RT-IoT2022_KNeighborsClassifier,10eef014-796a-4f32-89c8-089f4bb13dfe,62.35948824882507,0.0003645622199105,5.846138737634346e-06,22.5,9.468120312858558,11.942746639251707,0.0003896907418966,0.0001695756912159,0.0002065281744449,0.0007657946075576,United States,USA,texas,,,Windows-10-10.0.22631-SP0,3.10.4,2.3.4,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.764,30.2881,31.84732437133789,machine,N,1.0
RT-IoT2022,KNeighborsClassifier,2,"{'n_neighbors': range(1, 31, 5), 'weights': ['uniform', 'distance']}","{'n_neighbors': 1, 'weights': 'uniform'}",0.9910348990710023,0.9915123456790124,0.0008616172801626528,123.00059342384338,2024-03-29T13:50:01,RT-IoT2022_KNeighborsClassifier,10eef014-796a-4f32-89c8-089f4bb13dfe,189.7172086238861,0.0008616172801626,4.541587378458677e-06,22.5,4.9287004189981705,11.942746639251707,0.0011856764942407,-4.786392717999997e-06,0.0006290118326079,0.0018099019341307,United States,USA,texas,,,Windows-10-10.0.22631-SP0,3.10.4,2.3.4,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.764,30.2881,31.84732437133789,machine,N,1.0
RT-IoT2022,KNeighborsClassifier,3,"{'n_neighbors': range(1, 31, 3), 'weights': ['uniform', 'distance'], 'metric': ['euclidean', 'manhattan']}","{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",0.9918572938811971,0.9921621182586094,0.009031755892330316,1789.6571872234344,2024-03-29T14:19:56,RT-IoT2022_KNeighborsClassifier,10eef014-796a-4f32-89c8-089f4bb13dfe,1983.775959968567,0.0090317558923303,4.552810435546071e-06,22.5,0.0034501319908281,11.942746639251707,0.0123985374867916,-6.505560759999997e-06,0.0065799557934338,0.0189719877194654,United States,USA,texas,,,Windows-10-10.0.22631-SP0,3.10.4,2.3.4,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.764,30.2881,31.84732437133789,machine,N,1.0
RT-IoT2022,KNeighborsClassifier,4,"{'n_neighbors': range(1, 31, 3), 'weights': ['uniform', 'distance'], 'metric': ['minkowski', 'euclidean'], 'p': [1, 2]}","{'metric': 'minkowski', 'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}",0.9918572938811971,0.9921621182586094,0.01904166859254006,2161.273562669754,2024-03-29T14:56:33,RT-IoT2022_KNeighborsClassifier,10eef014-796a-4f32-89c8-089f4bb13dfe,4181.591367721558,0.01904166859254,4.553689473229274e-06,22.5,0.0,11.942746639251707,0.02613487765491,-6.505560759999997e-06,0.0138703066791079,0.039998678773258,United States,USA,texas,,,Windows-10-10.0.22631-SP0,3.10.4,2.3.4,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.764,30.2881,31.84732437133789,machine,N,1.0
