dataset_name,classifier,grid_search_number,param_grid,best_params,best_cv_score,test_accuracy,energy_consumed,elapsed_time
censusIncome,DecisionTreeClassifier,1,"{'max_depth': range(1, 10, 5), 'min_samples_split': range(2, 10, 6), 'min_samples_leaf': range(1, 10, 5)}","{'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.5721597257805068,0.5710922305251305,3.1033357660623455e-05,4.545867204666138
censusIncome,DecisionTreeClassifier,2,"{'max_depth': range(1, 10, 3), 'min_samples_split': range(2, 10, 4), 'min_samples_leaf': range(1, 10, 3)}","{'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.5733113736340485,0.5734466168492169,5.221861620093174e-05,3.0752429962158203
censusIncome,DecisionTreeClassifier,3,"{'max_depth': range(1, 10, 2), 'min_samples_split': range(2, 10, 2), 'min_samples_leaf': range(1, 10, 2)}","{'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.574463083714926,0.5761080970416624,0.00016828978081002302,16.862394094467163
