dataset_name,classifier,grid_search_number,param_grid,best_params,best_cv_score,test_accuracy,energy_consumed,elapsed_time,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
RT-IoT2022,DecisionTreeClassifier,1,"{'max_depth': range(1, 30, 5), 'min_samples_split': range(2, 30, 6), 'min_samples_leaf': range(1, 30, 5)}","{'max_depth': 16, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9974719023795687,0.9974415204678363,0.00083659283780134,118.80896139144897,2024-04-14T01:37:47,RT-IoT2022_DecisionTreeClassifier,94923b50-6115-439a-bbf9-1733c18c2948,118.80472326278688,0.0008365928378013,7.0417472876971504e-06,32.5,14.617193365207628,5.935011863708496,0.0010721165965,0.0004899512252939,0.0001952680976186,0.0017573359194127,United States,USA,texas,,,Windows-11-10.0.22631-SP0,3.12.2,2.3.4,6,Intel(R) Core(TM) i5-9400 CPU @ 2.90GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.8535,30.5875,15.826698303222656,machine,N,1.0
RT-IoT2022,DecisionTreeClassifier,2,"{'max_depth': range(1, 30, 3), 'min_samples_split': range(2, 30, 4), 'min_samples_leaf': range(1, 30, 3)}","{'max_depth': 25, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9974109840354931,0.997482131254061,0.004181784590203927,473.6030213832855,2024-04-14T01:45:40,RT-IoT2022_DecisionTreeClassifier,94923b50-6115-439a-bbf9-1733c18c2948,592.4343135356903,0.0041817845902039,7.058646831657569e-06,32.5,14.975421234728376,5.935011863708496,0.0053479392864637,0.00246017002369,0.0009760924371687,0.0087842017473225,United States,USA,texas,,,Windows-11-10.0.22631-SP0,3.12.2,2.3.4,6,Intel(R) Core(TM) i5-9400 CPU @ 2.90GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.8535,30.5875,15.826698303222656,machine,N,1.0
RT-IoT2022,DecisionTreeClassifier,3,"{'max_depth': range(1, 30, 2), 'min_samples_split': range(2, 30, 2), 'min_samples_leaf': range(1, 30, 2)}","{'max_depth': 19, 'min_samples_leaf': 1, 'min_samples_split': 4}",0.9974922100405292,0.9974009096816114,0.01935943267525351,2152.8493819236755,2024-04-14T02:21:33,RT-IoT2022_DecisionTreeClassifier,94923b50-6115-439a-bbf9-1733c18c2948,2745.316966056824,0.0193594326752535,7.051802365487876e-06,32.5,14.877314721408869,5.935011863708496,0.024783676737878,0.0113571376968139,0.0045253553942139,0.040666169828906,United States,USA,texas,,,Windows-11-10.0.22631-SP0,3.12.2,2.3.4,6,Intel(R) Core(TM) i5-9400 CPU @ 2.90GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-97.8535,30.5875,15.826698303222656,machine,N,1.0
